[1] "PCA Loadings (Feature Contributions to Principal Components):"
             PC1           PC2          PC3           PC4           PC5
C1   0.305287077  0.0046546235  0.006393562  8.709191e-02  0.5105310216
C2   0.305435233  0.0003783154  0.000279817  4.930915e-02  0.4450328057
C3  -0.003025537 -0.7042791617  0.709910716  1.852807e-03 -0.0007130233
C4   0.301063851  0.0046161976  0.005156907  3.284720e-01 -0.0344165743
C6   0.300571865  0.0062863593  0.006308983  3.417361e-01 -0.0257272375
C7   0.293408892  0.0020256701  0.005350184 -4.974975e-01 -0.0245184239
C8   0.305010182  0.0006968746  0.003090690 -1.779426e-01  0.0166872003
C10  0.303730982 -0.0070545787 -0.006221380 -2.170740e-01 -0.3580924530
C11  0.305473402  0.0039037019  0.004966996  1.558223e-01  0.1154773318
C12  0.293371880  0.0015257425  0.004648631 -4.982079e-01  0.1357271595
C13  0.305188487 -0.0199804053 -0.020283882  2.140704e-05 -0.5795459097
C14  0.297676208  0.0045131001  0.006129649  4.080139e-01 -0.2053640046
D1   0.003518712 -0.7095186528 -0.703809101  6.867235e-03  0.0232904620
